"symIndex","startDay","delta1","delta2","delta3","nowEndDelta"
189,3959,0.0022831050228311334,-0.011415525114155223,-0.007305936073059405,-1
109,1041,-0.03328050713153741,0.0,-0.06497622820919169,-1
109,1041,0.03328050713153741,-0.0,0.06497622820919169,1
77,4211,0.014838709677419293,-0.009677419354838568,-0.001612903225806539,1
77,4211,-0.014838709677419293,0.009677419354838568,0.001612903225806539,-1
49,794,0.026420079260237816,0.014531043593130732,-0.0013210039630118242,-1
49,794,-0.026420079260237816,-0.014531043593130732,0.0013210039630118242,1
143,1482,-0.005280528052805322,0.011221122112211268,0.003960396039603964,0
143,1482,0.005280528052805322,-0.011221122112211268,-0.003960396039603964,0
211,4339,-0.016393442622950838,0.017654476670870167,0.004035308953341699,0
211,4339,0.016393442622950838,-0.017654476670870167,-0.004035308953341699,0
71,111,-0.006677796327211993,-0.005008347245409106,0.0116861435726211,0
71,111,0.006677796327211993,0.005008347245409106,-0.0116861435726211,0
166,2549,-0.02083333333333326,-0.003676470588235281,-0.03799019607843146,1
166,2549,0.02083333333333326,0.003676470588235281,0.03799019607843146,-1
136,4184,-3.1590586005370014E-4,7.897646501342503E-4,-0.006949928921181403,0
136,4184,3.1590586005370014E-4,-7.897646501342503E-4,0.006949928921181403,0
126,3355,-0.009183027232425589,0.009183027232425589,-0.011716276124129177,0
126,3355,0.009183027232425589,-0.009183027232425589,0.011716276124129177,0
214,3987,0.010777202072538627,0.006632124352331736,-0.01575129533678754,1
214,3987,-0.010777202072538627,-0.006632124352331736,0.01575129533678754,-1
163,3795,0.006350082827167536,-0.003036996134732517,0.001656543346217676,1
163,3795,-0.006350082827167536,0.003036996134732517,-0.001656543346217676,-1
188,5774,-0.003722772277227726,0.005069306930693074,0.03635643564356439,1
188,5774,0.003722772277227726,-0.005069306930693074,-0.03635643564356439,-1
238,5609,0.04949010197960413,0.01229754049190146,0.003599280143971373,0
238,5609,-0.04949010197960413,-0.01229754049190146,-0.003599280143971373,0
42,5037,-0.012907608695652217,0.007246376811594235,0.008152173913043459,1
42,5037,0.012907608695652217,-0.007246376811594235,-0.008152173913043459,-1
7,5953,0.003231887961217428,-0.007271747912739102,0.010234311877188373,0
7,5953,-0.003231887961217428,0.007271747912739102,-0.010234311877188373,0
173,1534,-0.009015256588072118,0.0,0.0,-1
173,1534,0.009015256588072118,-0.0,-0.0,1
244,4405,0.0022404779686331366,-0.01941747572815533,0.0022404779686333587,1
244,4405,-0.0022404779686331366,0.01941747572815533,-0.0022404779686333587,-1
170,735,-0.014051522248243464,0.0,0.014051522248243464,0
170,735,0.014051522248243464,-0.0,-0.014051522248243464,0
160,1264,-0.016949152542372836,0.01016949152542379,0.013559322033898202,1
160,1264,0.016949152542372836,-0.01016949152542379,-0.013559322033898202,-1
98,988,-0.015673981191222763,0.0031347962382446415,-0.0031347962382446415,-1
98,988,0.015673981191222763,-0.0031347962382446415,0.0031347962382446415,1
147,4102,0.004688644688644716,-0.007619047619047525,0.008351648351648255,0
147,4102,-0.004688644688644716,0.007619047619047525,-0.008351648351648255,0
43,2618,0.004219409282700259,0.025316455696202667,-0.0031645569620253333,1
43,2618,-0.004219409282700259,-0.025316455696202667,0.0031645569620253333,-1
64,3500,0.003800217155266017,-0.02714440825190012,-0.03311617806731815,0
64,3500,-0.003800217155266017,0.02714440825190012,0.03311617806731815,0
147,2818,-0.03730964467005071,-0.0017766497461929598,0.015736040609137025,-1
147,2818,0.03730964467005071,0.0017766497461929598,-0.015736040609137025,1
207,1307,0.06666666666666676,-0.006666666666666599,-0.01333333333333342,1
207,1307,-0.06666666666666676,0.006666666666666599,0.01333333333333342,-1
117,3206,0.03539823008849563,-0.017699115044247815,-0.02123893805309729,-1
117,3206,-0.03539823008849563,0.017699115044247815,0.02123893805309729,1

